"BehaviorSpace results (NetLogo 6.2.2)"
"Modelo-Melhorado.nlogo"
"experiment"
"10/30/2022 15:37:48:802 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1"
"n_basics","30",,
"n_experts","10",,
"percentagem_alimento_verde","5",,
"gems","10",,
"percentagem_alimento_amarelo","5",,
"abrigos","5",,
"percentagem_armadilhas","2",,
"[reporter]","count basics","count experts","count mages"
"[final]","545","0","10"
"[min]","17","0","0"
"[max]","557","16","10"
"[mean]","194.475","2.728","9.02"
"[steps]","999","999","999"

"[all run data]","count basics","count experts","count mages"
,"409","0","10"
,"409","0","10"
,"411","0","10"
,"415","0","9"
,"420","0","10"
,"418","0","10"
,"422","0","10"
,"422","0","10"
,"426","0","10"
,"429","0","9"
,"428","0","9"
,"418","0","9"
,"412","0","10"
,"416","0","10"
,"416","0","10"
,"421","0","10"
,"426","0","10"
,"426","0","10"
,"427","0","10"
,"430","0","10"
,"434","0","10"
,"436","0","10"
,"438","0","10"
,"436","0","10"
,"437","0","10"
,"438","0","10"
,"441","0","10"
,"438","0","10"
,"441","0","10"
,"447","0","10"
,"448","0","10"
,"449","0","10"
,"453","0","10"
,"457","0","10"
,"456","0","10"
,"456","0","10"
,"458","0","10"
,"459","0","9"
,"459","0","9"
,"462","0","9"
,"458","0","10"
,"456","0","10"
,"455","0","10"
,"458","0","10"
,"454","0","10"
,"456","0","10"
,"461","0","10"
,"466","0","10"
,"467","0","10"
,"468","0","10"
,"465","0","10"
,"464","0","10"
,"469","0","10"
,"476","0","10"
,"475","0","10"
,"477","0","10"
,"475","0","10"
,"480","0","10"
,"485","0","10"
,"485","0","10"
,"484","0","10"
,"482","0","10"
,"485","0","10"
,"484","0","10"
,"483","0","10"
,"488","0","10"
,"489","0","10"
,"487","0","10"
,"492","0","10"
,"497","0","10"
,"498","0","10"
,"501","0","10"
,"492","0","10"
,"491","0","10"
,"492","0","10"
,"490","0","10"
,"492","0","9"
,"491","0","9"
,"492","0","10"
,"491","0","10"
,"494","0","10"
,"496","0","10"
,"495","0","10"
,"500","0","10"
,"505","0","10"
,"505","0","10"
,"509","0","10"
,"518","0","10"
,"520","0","10"
,"524","0","10"
,"528","0","10"
,"528","0","10"
,"527","0","10"
,"512","0","10"
,"514","0","10"
,"515","0","10"
,"514","0","9"
,"508","0","9"
,"509","0","9"
,"513","0","9"
,"512","0","9"
,"516","0","10"
,"516","0","10"
,"514","0","10"
,"508","0","10"
,"513","0","10"
,"509","0","10"
,"514","0","10"
,"506","0","10"
,"504","0","10"
,"505","0","10"
,"505","0","10"
,"509","0","10"
,"513","0","10"
,"517","0","10"
,"513","0","10"
,"509","0","10"
,"509","0","10"
,"505","0","10"
,"502","0","10"
,"498","0","10"
,"500","0","9"
,"501","0","9"
,"497","0","9"
,"493","0","9"
,"493","0","10"
,"491","0","10"
,"487","0","10"
,"489","0","10"
,"487","0","10"
,"487","0","10"
,"487","0","10"
,"489","0","10"
,"493","0","10"
,"496","0","10"
,"499","0","10"
,"502","0","8"
,"499","0","9"
,"500","0","9"
,"505","0","9"
,"503","0","10"
,"506","0","10"
,"510","0","9"
,"507","0","10"
,"510","0","10"
,"512","0","10"
,"512","0","10"
,"508","0","10"
,"508","0","10"
,"511","0","10"
,"514","0","10"
,"510","0","10"
,"513","0","10"
,"511","0","9"
,"511","0","9"
,"515","0","9"
,"516","0","10"
,"523","0","10"
,"528","0","10"
,"527","0","10"
,"529","0","10"
,"527","0","9"
,"527","0","9"
,"525","0","9"
,"524","0","9"
,"518","0","9"
,"515","0","9"
,"518","0","9"
,"520","0","9"
,"523","0","9"
,"527","0","9"
,"529","0","9"
,"530","0","9"
,"526","0","10"
,"527","0","10"
,"525","0","10"
,"529","0","10"
,"533","0","10"
,"537","0","10"
,"536","0","10"
,"532","0","10"
,"533","0","10"
,"533","0","10"
,"536","0","10"
,"532","0","10"
,"533","0","10"
,"536","0","10"
,"539","0","10"
,"541","0","10"
,"540","0","9"
,"542","0","9"
,"537","0","9"
,"541","0","10"
,"541","0","10"
,"546","0","10"
,"549","0","10"
,"554","0","10"
,"552","0","10"
,"552","0","10"
,"552","0","10"
,"554","0","10"
,"557","0","10"
,"552","0","10"
,"547","0","10"
,"545","0","10"
,"545","0","10"
